idx,kind,stage,block,role,params,shape,apb,name
84,LayerNorm,2,9,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.9.norm1
85,Linear,2,9,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.9.attn.qkv
86,Linear,2,9,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.9.attn.proj
87,LayerNorm,2,9,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.9.norm2
88,Linear,2,9,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.9.mlp.fc1
89,Linear,2,9,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.9.mlp.fc2
90,LayerNorm,2,10,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.10.norm1
91,Linear,2,10,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.10.attn.qkv
92,Linear,2,10,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.10.attn.proj
93,LayerNorm,2,10,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.10.norm2
94,Linear,2,10,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.10.mlp.fc1
95,Linear,2,10,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.10.mlp.fc2
96,LayerNorm,2,11,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.11.norm1
97,Linear,2,11,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.11.attn.qkv
98,Linear,2,11,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.11.attn.proj
99,LayerNorm,2,11,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.11.norm2
100,Linear,2,11,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.11.mlp.fc1
101,Linear,2,11,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.11.mlp.fc2
102,LayerNorm,2,12,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.12.norm1
103,Linear,2,12,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.12.attn.qkv
104,Linear,2,12,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.12.attn.proj
105,LayerNorm,2,12,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.12.norm2
106,Linear,2,12,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.12.mlp.fc1
107,Linear,2,12,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.12.mlp.fc2
108,LayerNorm,2,13,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.13.norm1
109,Linear,2,13,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.13.attn.qkv
110,Linear,2,13,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.13.attn.proj
111,LayerNorm,2,13,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.13.norm2
112,Linear,2,13,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.13.mlp.fc1
113,Linear,2,13,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.13.mlp.fc2
114,LayerNorm,2,14,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.14.norm1
